date,stk_name,stk_num
2017-11-16,安科生物,300009
2017-11-16,南方航空,600029
2017-11-17,酒鬼酒,000799
2017-11-17,镇海股份,603637
2017-11-20,凯普生物,300639
2017-11-20,酒鬼酒,000799
2017-11-20,TCL 集团,000100
2017-11-20,镇海股份,603637
2017-11-21,雅化集团,002497
2017-11-21,桐昆股份,601233
2017-11-22,同仁堂,600085
2017-11-22,蒙草生态,300355
2017-11-23,东方航空,600115
2017-11-23,江丰电子,300666
2017-11-24,中信证券,600030
2017-11-24,华西能源,002630
2017-11-27,双鹭药业,002038
2017-11-27,中兴通讯,000063
2017-11-28,华润双鹤,600062
2017-11-28,梅泰诺,300038
2017-11-29,恒瑞医药,600276
2017-11-29,新华龙,603399
2017-11-30,韶钢松山,000717
2017-11-30,保利地产,600048
2017-12-01,士兰微,600460
2017-12-01,联美控股,600167
2017-12-04,帝王洁具,002798
2017-12-04,荣晟环保,603165
2017-12-05,中国国航,601111
2017-12-05,新华龙,603399
2017-12-06,三安光电,600703
2017-12-06,光大银行,601818
2017-12-07,上海贝岭,600171
2017-12-07,康美药业,600518
2017-12-08,山东路桥,000498
2017-12-11,华统股份,002840
2017-12-11,东珠景观,603359
2017-12-12,生物股份,600201
2017-12-12,海量数据,603138
2017-12-13,新南洋,600661
