date,stk_name,stk_num
2017-11-15,安科生物,64,56
2017-11-16,南方航空,71,57
2017-11-17,酒鬼酒,64,56
2017-11-18,镇海股份,57,56
2017-11-19,凯普生物,87,80
2017-11-20,酒鬼酒,57,54
2017-11-21,TCL 集团,56,49
2017-11-22,镇海股份,66,56
2017-11-23,雅化集团,54,51
2017-11-24,桐昆股份,61,58
2017-11-25,同仁堂,57,53
2017-11-26,蒙草生态,59,49
2017-11-27,东方航空,61,54
2017-11-28,江丰电子,64,61
2017-11-29,中信证券,61,57
2017-11-30,华西能源,53,44
2017-12-01,联美控股,69,61
2017-12-02,帝王洁具,59,55
2017-12-03,荣晟环保,61,60
2017-12-04,中国国航,61,60
2017-12-05,新华龙,67,58
2017-12-06,三安光电,87,81
2017-12-07,光大银行,57,54
2017-12-08,上海贝岭,66,56
2017-12-09,康美药业,68,68
2017-12-10,山东路桥,81,75
2017-12-11,华统股份,65,59
2017-12-12,东珠景观,56,54
2017-12-13,生物股份,56,52
2017-12-14,海量数据,39,27
2017-12-15,新南洋,65,57
